Target	Source
MAP2K7	CFLAR
MAP3K10	CDC42
MAP3K10	DNM1L
MAP3K10	HTT
MAP3K11	AKT1
MAP3K11	CDC42
MAP3K11	IKBKB
MAP3K11	MAP2K7
MAP3K12	MAP2K7
MAP3K12	MAP3K11
MAP3K13	IKBKB
MAP3K13	MAP2K7
MAP3K1	IKBKB
MAP3K1	MAP2K1
MAP3K1	MAP2K7
MAP3K3	IKBKB
MAP3K3	MAP2K5
MAP3K4	CDC42
MAP3K4	MAP2K1
MAP3K5	AKT1
MAP3K5	CDC25A
MAP3K5	DAB2IP
MAP3K5	DAXX
MAP3K5	HSPA4
MAP3K5	IGF1R
MAP3K5	MAP2K7
MAP3K5	MAP3K3
MAP3K6	MAP3K5
MAP3K7	CARD11
MAP3K7	FOS
MAP3K7	HGS
MAP3K7	IKBKB
MAP3K7	IRAK1
MAP3K7	MAP2K7
MAP3K7	MAP3K3
MAP3K7	MAP3K5
MAP3K8	AKT1
MAP3K8	MAP2K1
MAP4K1	ABL1
MAP4K1	DBNL
MAP4K1	EGFR
MAP4K1	MAP3K11
MAP4K1	MAP3K7
MAP4K3	BIN1
MAP4K3	MAP3K1
MAP4K4	DOK1
MAP4K4	MAP3K1
MAP4K4	MAP3K7
MAP7D1	ATN1
MAPK10	GTF3C1
MAPK10	HNRNPK
MAPK11	ATF2
MAPK11	ELK1
MAPK14	AKT1
MAPK14	ATF2
MAPK14	CBL
MAPK14	CDC25B
MAPK14	CREB1
MAPK14	DUSP2
MAPK14	DUSP7
MAPK14	EGFR
MAPK14	ELK1
MAPK14	FLNA
MAPK14	HNF4A
MAPK14	HNRNPK
MAPK14	HSF4
MAPK14	IRAK1
MAPK14	KAT2B
MAPK14	MAP2K1
MAPK14	MAP2K7
MAPK14	MAP3K7
MAPK8	ATF2
MAPK8	CBL
MAPK8	COPS2
MAPK8	DUSP7
MAPK8	ELK1
MAPK8	HSF1
MAPK8	HSF4
MAPK8IP2	KLC1
MAPK8IP2	LRP2
MAPK8IP2	MAP2K7
MAPK8IP2	MAP3K10
MAPK8IP2	MAP3K11
MAPK8IP2	MAP3K12
MAPK8IP2	MAPK10
MAPK8IP2	MAPK8
MAPK8IP3	KLC1
MAPK8IP3	MAP2K1
MAPK8IP3	MAP2K7
MAPK8IP3	MAP3K1
MAPK8IP3	MAP3K11
MAPK8IP3	MAP3K5
MAPK8IP3	MAPK10
MAPK8IP3	MAPK8
MAPK8IP3	MAPK8IP2
MAPK8	MAP1B
MAPK8	MAP2K7
MAPK8	MAP3K1
MAPK8	MAP3K7
MAPK8	MAPK14
MAPKBP1	MAPK10
MAPKBP1	MAPK8
MAPRE2	CLIP1
MAPT	ABL1
MAPT	AKT1
MAPT	CAMK2A
MAPT	DCTN1
MAPT	HDAC6
MAPT	HSPA4
MARK1	MAP2
MARK1	MAPT
MARK2	ARHGEF2
MARK2	MAP3K3
MARK2	MARK1
MARK3	MARK2
MARK4	CDC42
MARK4	MAP2
MARK4	MAPT
MARK4	MARK2
MATR3	HNRNPK
MAZ	BPTF
MAZ	CSNK2A1
MAZ	FOS
MBD1	ATF7IP
MBD1	CHAF1A
MBD2	CHD3
MBD2	CREBBP
MBD2	DHX9
MBD2	DNMT1
MBD2	HDAC2
MDM4	AKT1
MEAF6	FXR2
MEAF6	L3MBTL2
MECOM	CREBBP
MECOM	CTBP1
MECOM	CTBP2
MECOM	HDAC4
MECOM	KAT2B
MED10	KDM4B
MED12	EHMT2
MED12	LYST
MED12	MED10
MED13L	MED10
MED13L	MED13
MED13	MED10
MED13	MED12
MED14	ACTN1
MED14	ACTN2
MED14	CTDP1
MED14	HNF4A
MED14	MED10
MED15	CREB1
MED15	CTDP1
MED15	MED12
MED15	MED13
MED15	MED14
MED23	CTDP1
MED23	ELF3
MED23	MED10
MED23	MED13
MED23	MED14
MED23	MED15
MED24	CTDP1
MED24	MED10
MED24	MED14
MED25	CREBBP
MED25	CTDP1
MED25	HCFC1
MED25	MED12
MED25	MED13
MED25	MED14
MED25	MED15
MED25	MED23
MEF2A	CABIN1
MEF2A	HDAC4
MEF2A	HDAC5
MEF2A	HDAC7
MEF2A	MAPK14
MEF2B	CABIN1
MEF2B	HDAC4
MEF2C	CSNK2A1
MEF2C	GATA4
MEF2C	HDAC4
MEF2C	HDAC5
MEF2C	HDAC7
MEF2C	MAPK14
MEF2D	ASH2L
MEF2D	CABIN1
MEF2D	HDAC4
MEF2D	HDAC5
MEF2D	KAT2B
MEF2D	MEF2A
MEF2D	MEF2C
MEGF8	ATN1
METAP2	CDC42
METAP2	EIF2S3
MET	CBL
MET	CTNNB1
MET	EGFR
MET	GAB2
MET	HGS
MET	INPP5D
MET	INPPL1
MET	ITGB4
MET	KDR
MGEA5	CYLD
MGEA5	DHX9
MIER1	HDAC2
MINK1	CASKIN1
MINK1	MAP1B
MKL2	MKL1
MKNK2	EIF4G1
MKNK2	MAPK14
MLLT10	DOT1L
MLLT10	MLLT1
MLLT1	AFF4
MLLT1	CBX8
MLLT1	DOT1L
MLLT1	ELL
MLLT3	AFF3
MLLT3	AFF4
MLLT3	CBX8
MLLT3	CCNT1
MLLT3	CCNT2
MLLT3	DOT1L
MLLT3	ELL
MLLT3	MLLT1
MLLT3	MLLT10
MLLT4	BCR
MLLT4	CTNNA1
MLLT4	JAG1
MLLT6	DOT1L
MLLT6	MED15
MLLT6	MLLT1
MMP14	F12
MMP14	FGFR2
MMP14	FURIN
MOV10	CBX6
MOV10	CBX7
MOV10	CBX8
MST1	MAP1B
MTA1	ATR
MTA1	BCL11B
MTA1	CHD3
MTA1	CHD4
MTA1	HDAC2
MTA1	HIF1A
MTA2	BCL11B
MTA2	CHD3
MTA2	CHD4
MTA2	HDAC2
MTA2	MBD2
MTA2	MTA1
MTF2	JARID2
MTOR	ABL1
MTOR	AKT1
MTOR	AKT1S1
MTOR	CLIP1
MTOR	CLK2
MTOR	EIF3B
MTOR	FBXW7
MTOR	GPHN
MTOR	MAF1
MYB	CREBBP
MYB	CSNK2A1
MYB	FBXW7
MYB	KAT2B
MYBL1	CREBBP
MYBL1	LIN54
MYBL2	CDC34
MYBL2	CREBBP
MYBL2	E2F3
MYBL2	E2F4
MYBL2	LIN54
MYB	LEF1
MYH9	GRIN1
MYH9	MYH10
MYLK	CAMK2G
MYO18A	GOLPH3
MYO5A	DLGAP1
MYO9A	CDC42
MYO9B	ARFGEF1
MYSM1	KAT2B
MYSM1	KIF11
NAA10	CDC25A
NAA10	EHMT2
NAA10	HIF1A
NAA15	NAA10
NAGPA	AP2A1
NAGPA	FURIN
NASP	LUC7L2
NBPF3	ANK1
NCAN	HMGB1
NCKAP1	CYFIP1
NCKAP1	CYFIP2
NCKIPSD	BAIAP2
NCL	ARFGEF1
NCL	CSNK2A1
NCL	DGCR8
NCL	LTF
NCL	MYB
NCL	MYBL1
NCOA1	ARNT
NCOA1	BCL3
NCOA1	CARM1
NCOA1	CIITA
NCOA1	CREBBP
NCOA1	FOS
NCOA1	HIF1A
NCOA1	HNF4A
NCOA1	KAT2B
NCOA2	ACTN2
NCOA2	ANKRD11
NCOA2	ARNT
NCOA2	CARM1
NCOA2	CCNT1
NCOA2	CREBBP
NCOA2	CTNNB1
NCOA2	FOS
NCOA2	GMEB1
NCOA2	HIF1A
